"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","genes"
"GO:0006289","nucleotide-excision repair","7/37","85/18870",2.699602174395e-10,2.52412803305933e-07,1.90677164107268e-07,"ERCC6/SMARCB1/SMARCA2/SMARCD2/PBRM1/SMARCE1/USP7",7,"ERCC6, SMARCB1, SMARCA2, SMARCD2, PBRM1, SMARCE1, USP7"
"GO:2000819","regulation of nucleotide-excision repair","5/37","28/18870",2.08099263197103e-09,9.72864055446458e-07,7.3491897686977e-07,"SMARCB1/SMARCA2/SMARCD2/PBRM1/SMARCE1",5,"SMARCB1, SMARCA2, SMARCD2, PBRM1, SMARCE1"
"GO:0000338","protein deneddylation","4/37","11/18870",4.08656809324631e-09,9.91536770754633e-07,7.49024681313098e-07,"COPS3/COPS8/COPS4/COPS2",4,"COPS3, COPS8, COPS4, COPS2"
"GO:0051054","positive regulation of DNA metabolic process","9/37","298/18870",4.57139702119889e-09,9.91536770754633e-07,7.49024681313098e-07,"ERCC6/NBN/SMARCB1/SMARCA2/SMARCD2/RAD50/PBRM1/SMARCE1/USP7",9,"ERCC6, NBN, SMARCB1, SMARCA2, SMARCD2, RAD50, PBRM1, SMARCE1, USP7"
"GO:0006302","double-strand break repair","9/37","307/18870",5.9242981878579e-09,9.91536770754633e-07,7.49024681313098e-07,"ERCC6/NBN/SMARCB1/SMARCA2/SMARCD2/RAD50/PBRM1/SMARCE1/SENP3",9,"ERCC6, NBN, SMARCB1, SMARCA2, SMARCD2, RAD50, PBRM1, SMARCE1, SENP3"
"GO:2000779","regulation of double-strand break repair","7/37","133/18870",6.3628028069816e-09,9.91536770754633e-07,7.49024681313098e-07,"ERCC6/SMARCB1/SMARCA2/SMARCD2/PBRM1/SMARCE1/SENP3",7,"ERCC6, SMARCB1, SMARCA2, SMARCD2, PBRM1, SMARCE1, SENP3"
"GO:0070316","regulation of G0 to G1 transition","5/37","38/18870",1.0478878496801e-08,1.39967877064414e-06,1.05734247689526e-06,"SMARCB1/SMARCA2/SMARCD2/PBRM1/SMARCE1",5,"SMARCB1, SMARCA2, SMARCD2, PBRM1, SMARCE1"
"GO:0045023","G0 to G1 transition","5/37","40/18870",1.36982025371114e-08,1.60097742152489e-06,1.20940709242128e-06,"SMARCB1/SMARCA2/SMARCD2/PBRM1/SMARCE1",5,"SMARCB1, SMARCA2, SMARCD2, PBRM1, SMARCE1"
"GO:2000781","positive regulation of double-strand break repair","6/37","86/18870",1.55834713789038e-08,1.61894952658611e-06,1.22298354330344e-06,"ERCC6/SMARCB1/SMARCA2/SMARCD2/PBRM1/SMARCE1",6,"ERCC6, SMARCB1, SMARCA2, SMARCD2, PBRM1, SMARCE1"
"GO:0045663","positive regulation of myoblast differentiation","5/37","43/18870",1.99541878603144e-08,1.81945328627089e-06,1.37444768374643e-06,"SMARCB1/SMARCA2/SMARCD2/PBRM1/SMARCE1",5,"SMARCB1, SMARCA2, SMARCD2, PBRM1, SMARCE1"
