"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","genes"
"GO:0000018","regulation of DNA recombination","7/25","136/18870",3.72969035490975e-10,1.75086705139147e-07,1.05545508763777e-07,"ING3/BRD8/KPNA2/MRGBP/VPS72/EPC1/TFRC",7,"ING3, BRD8, KPNA2, MRGBP, VPS72, EPC1, TFRC"
"GO:0045911","positive regulation of DNA recombination","6/25","71/18870",3.82703180632015e-10,1.75086705139147e-07,1.05545508763777e-07,"ING3/BRD8/MRGBP/VPS72/EPC1/TFRC",6,"ING3, BRD8, MRGBP, VPS72, EPC1, TFRC"
"GO:1905168","positive regulation of double-strand break repair via homologous recombination","5/25","37/18870",1.12976572245381e-09,3.44578545348413e-07,2.07718329321333e-07,"ING3/BRD8/MRGBP/VPS72/EPC1",5,"ING3, BRD8, MRGBP, VPS72, EPC1"
"GO:0046034","ATP metabolic process","6/25","137/18870",2.07409153625135e-08,4.74448438917496e-06,2.86006306577817e-06,"NDUFA12/NDUFV2/NDUFA7/HSPA1B/SDHA/HSPA1A",6,"NDUFA12, NDUFV2, NDUFA7, HSPA1B, SDHA, HSPA1A"
"GO:0010569","regulation of double-strand break repair via homologous recombination","5/25","73/18870",3.77095719919051e-08,6.90085167451863e-06,4.15996120500174e-06,"ING3/BRD8/MRGBP/VPS72/EPC1",5,"ING3, BRD8, MRGBP, VPS72, EPC1"
"GO:0009205","purine ribonucleoside triphosphate metabolic process","6/25","161/18870",5.44114286452627e-08,8.01694286142194e-06,4.83276164438895e-06,"NDUFA12/NDUFV2/NDUFA7/HSPA1B/SDHA/HSPA1A",6,"NDUFA12, NDUFV2, NDUFA7, HSPA1B, SDHA, HSPA1A"
"GO:0009144","purine nucleoside triphosphate metabolic process","6/25","167/18870",6.76488178527598e-08,8.01694286142194e-06,4.83276164438895e-06,"NDUFA12/NDUFV2/NDUFA7/HSPA1B/SDHA/HSPA1A",6,"NDUFA12, NDUFV2, NDUFA7, HSPA1B, SDHA, HSPA1A"
"GO:0009199","ribonucleoside triphosphate metabolic process","6/25","168/18870",7.00934894987711e-08,8.01694286142194e-06,4.83276164438895e-06,"NDUFA12/NDUFV2/NDUFA7/HSPA1B/SDHA/HSPA1A",6,"NDUFA12, NDUFV2, NDUFA7, HSPA1B, SDHA, HSPA1A"
"GO:2000781","positive regulation of double-strand break repair","5/25","86/18870",8.64334573200878e-08,8.48119596197064e-06,5.11262201216292e-06,"ING3/BRD8/MRGBP/VPS72/EPC1",5,"ING3, BRD8, MRGBP, VPS72, EPC1"
"GO:0006163","purine nucleotide metabolic process","8/25","463/18870",9.26906662510453e-08,8.48119596197064e-06,5.11262201216292e-06,"NDUFA12/NNT/PDK1/NDUFV2/NDUFA7/HSPA1B/SDHA/HSPA1A",8,"NDUFA12, NNT, PDK1, NDUFV2, NDUFA7, HSPA1B, SDHA, HSPA1A"
