"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","genes"
"GO:0000082","G1/S transition of mitotic cell cycle","10/32","252/18870",7.52266592283175e-12,8.56079382018254e-09,5.96270256830770e-09,"CDKN2C/LATS2/SMARCC1/SMARCD3/CDK6/CCND2/ARID2/BCL7A/CDKN2B/SMARCC2",10,"CDKN2C, LATS2, SMARCC1, SMARCD3, CDK6, CCND2, ARID2, BCL7A, CDKN2B, SMARCC2"
"GO:0044843","cell cycle G1/S phase transition","10/32","279/18870",2.05840117652692e-11,1.17123026944382e-08,8.15776887328826e-09,"CDKN2C/LATS2/SMARCC1/SMARCD3/CDK6/CCND2/ARID2/BCL7A/CDKN2B/SMARCC2",10,"CDKN2C, LATS2, SMARCC1, SMARCD3, CDK6, CCND2, ARID2, BCL7A, CDKN2B, SMARCC2"
"GO:0070316","regulation of G0 to G1 transition","6/32","38/18870",3.84458371614049e-11,1.45837875632263e-08,1.01577948710659e-08,"SMARCC1/SMARCD3/ARID2/BCL7A/CDKN2B/SMARCC2",6,"SMARCC1, SMARCD3, ARID2, BCL7A, CDKN2B, SMARCC2"
"GO:0045023","G0 to G1 transition","6/32","40/18870",5.332779095491e-11,1.51717565266719e-08,1.05673227865914e-08,"SMARCC1/SMARCD3/ARID2/BCL7A/CDKN2B/SMARCC2",6,"SMARCC1, SMARCD3, ARID2, BCL7A, CDKN2B, SMARCC2"
"GO:2000045","regulation of G1/S transition of mitotic cell cycle","8/32","183/18870",5.78613883634351e-10,1.31692519915178e-07,9.17255272371929e-08,"CDKN2C/SMARCC1/SMARCD3/CCND2/ARID2/BCL7A/CDKN2B/SMARCC2",8,"CDKN2C, SMARCC1, SMARCD3, CCND2, ARID2, BCL7A, CDKN2B, SMARCC2"
"GO:2000819","regulation of nucleotide-excision repair","5/32","28/18870",9.66279421750252e-10,1.83270996991964e-07,1.27650597294375e-07,"SMARCC1/SMARCD3/ARID2/BCL7A/SMARCC2",5,"SMARCC1, SMARCD3, ARID2, BCL7A, SMARCC2"
"GO:1902806","regulation of cell cycle G1/S phase transition","8/32","209/18870",1.65796958596735e-09,2.69538484118691e-07,1.87737007253145e-07,"CDKN2C/SMARCC1/SMARCD3/CCND2/ARID2/BCL7A/CDKN2B/SMARCC2",8,"CDKN2C, SMARCC1, SMARCD3, CCND2, ARID2, BCL7A, CDKN2B, SMARCC2"
"GO:0044772","mitotic cell cycle phase transition","10/32","470/18870",3.29736941366462e-09,4.69050799093793e-07,3.26699890590719e-07,"CDKN2C/LATS2/SMARCC1/SMARCD3/CDK6/CCND2/ARID2/BCL7A/CDKN2B/SMARCC2",10,"CDKN2C, LATS2, SMARCC1, SMARCD3, CDK6, CCND2, ARID2, BCL7A, CDKN2B, SMARCC2"
"GO:1901990","regulation of mitotic cell cycle phase transition","9/32","355/18870",5.10964120940303e-09,6.46085744033405e-07,4.50006997740407e-07,"CDKN2C/SMARCC1/SMARCD3/CDK6/CCND2/ARID2/BCL7A/CDKN2B/SMARCC2",9,"CDKN2C, SMARCC1, SMARCD3, CDK6, CCND2, ARID2, BCL7A, CDKN2B, SMARCC2"
"GO:0033045","regulation of sister chromatid segregation","6/32","104/18870",1.95433155510193e-08,2.224029309706e-06,1.54906490630711e-06,"BECN1/SMARCC1/SMARCD3/ARID2/BCL7A/SMARCC2",6,"BECN1, SMARCC1, SMARCD3, ARID2, BCL7A, SMARCC2"
