"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","genes"
"GO:0051568","histone H3-K4 methylation","7/25","20/18870",2.18313946522983e-16,1.6024243674787e-13,1.23404830824044e-13,"MCRS1/KANSL2/SETD1B/KANSL3/KANSL1/KAT8/PHF20",7,"MCRS1, KANSL2, SETD1B, KANSL3, KANSL1, KAT8, PHF20"
"GO:0051569","regulation of histone H3-K4 methylation","6/25","13/18870",4.8212126731877e-15,8.84692525529942e-13,6.81313475132051e-13,"MCRS1/KANSL2/KANSL3/KANSL1/KAT8/PHF20",6,"MCRS1, KANSL2, KANSL3, KANSL1, KAT8, PHF20"
"GO:0051571","positive regulation of histone H3-K4 methylation","6/25","13/18870",4.8212126731877e-15,8.84692525529942e-13,6.81313475132051e-13,"MCRS1/KANSL2/KANSL3/KANSL1/KAT8/PHF20",6,"MCRS1, KANSL2, KANSL3, KANSL1, KAT8, PHF20"
"GO:1900095","regulation of dosage compensation by inactivation of X chromosome","6/25","13/18870",4.8212126731877e-15,8.84692525529942e-13,6.81313475132051e-13,"MCRS1/KANSL2/KANSL3/KANSL1/KAT8/PHF20",6,"MCRS1, KANSL2, KANSL3, KANSL1, KAT8, PHF20"
"GO:0034968","histone lysine methylation","7/25","33/18870",1.19010355178247e-14,1.74707201401666e-12,1.3454433838046e-12,"MCRS1/KANSL2/SETD1B/KANSL3/KANSL1/KAT8/PHF20",7,"MCRS1, KANSL2, SETD1B, KANSL3, KANSL1, KAT8, PHF20"
"GO:0031062","positive regulation of histone methylation","6/25","16/18870",2.24407579113775e-14,2.74525271782518e-12,2.11415561375609e-12,"MCRS1/KANSL2/KANSL3/KANSL1/KAT8/PHF20",6,"MCRS1, KANSL2, KANSL3, KANSL1, KAT8, PHF20"
"GO:0016571","histone methylation","7/25","38/18870",3.5010733156247e-14,3.6711254480979e-12,2.82718251201574e-12,"MCRS1/KANSL2/SETD1B/KANSL3/KANSL1/KAT8/PHF20",7,"MCRS1, KANSL2, SETD1B, KANSL3, KANSL1, KAT8, PHF20"
"GO:0031060","regulation of histone methylation","6/25","19/18870",7.58349874092406e-14,6.95786009479782e-12,5.35834055773187e-12,"MCRS1/KANSL2/KANSL3/KANSL1/KAT8/PHF20",6,"MCRS1, KANSL2, KANSL3, KANSL1, KAT8, PHF20"
"GO:0018022","peptidyl-lysine methylation","7/25","53/18870",4.22287738273254e-13,3.44399110991743e-11,2.65226333862851e-11,"MCRS1/KANSL2/SETD1B/KANSL3/KANSL1/KAT8/PHF20",7,"MCRS1, KANSL2, SETD1B, KANSL3, KANSL1, KAT8, PHF20"
"GO:0009048","dosage compensation by inactivation of X chromosome","6/25","31/18870",2.03670375877834e-12,1.39219160793794e-10,1.07214526525552e-10,"MCRS1/KANSL2/KANSL3/KANSL1/KAT8/PHF20",6,"MCRS1, KANSL2, KANSL3, KANSL1, KAT8, PHF20"
