"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5620971","Pyroptosis","2/13","28/11009",0.000478229175592995,0.051388565066999,0.0381834539197516,"TP53/CHMP4B",2
"R-HSA-6804758","Regulation of TP53 Activity through Acetylation","2/13","30/11009",0.000549610321572182,0.051388565066999,0.0381834539197516,"CHD3/TP53",2
"R-HSA-72163","mRNA Splicing - Major Pathway","3/13","207/11009",0.00163033378847666,0.0705895612283185,0.052450447971506,"HNRNPU/PRPF8/RBM39",3
"R-HSA-72172","mRNA Splicing","3/13","215/11009",0.00181775698453889,0.0705895612283185,0.052450447971506,"HNRNPU/PRPF8/RBM39",3
"R-HSA-5218859","Regulated Necrosis","2/13","60/11009",0.00219210562079962,0.0705895612283185,0.052450447971506,"TP53/CHMP4B",2
"R-HSA-8943724","Regulation of PTEN gene transcription","2/13","61/11009",0.00226490570786049,0.0705895612283185,0.052450447971506,"CHD3/TP53",2
"R-HSA-9833482","PKR-mediated signaling","2/13","75/11009",0.00340262526514954,0.090898703511852,0.0675408323307879,"ILF3/TP53",2
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","3/13","285/11009",0.00404948075999225,0.0946566127648188,0.0703330868840759,"HNRNPU/PRPF8/RBM39",3
"R-HSA-6807070","PTEN Regulation","2/13","140/11009",0.0114257144893015,0.129339188532281,0.0961034218196519,"CHD3/TP53",2
"R-HSA-1169410","Antiviral mechanism by IFN-stimulated genes","2/13","149/11009",0.0128703370813722,0.129339188532281,0.0961034218196519,"ILF3/TP53",2
