"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72163","mRNA Splicing - Major Pathway","9/17","207/11009",5.271015525596e-12,9.1696410404693e-10,5.70538074540173e-10,"HNRNPA3/SRRM2/HNRNPH1/SNW1/DHX9/HNRNPD/HNRNPK/DDX5/EIF4A3",9
"R-HSA-72172","mRNA Splicing","9/17","215/11009",7.42481055908445e-12,9.1696410404693e-10,5.70538074540173e-10,"HNRNPA3/SRRM2/HNRNPH1/SNW1/DHX9/HNRNPD/HNRNPK/DDX5/EIF4A3",9
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","9/17","285/11009",9.34012569457591e-11,7.6900368218675e-09,4.78476614529152e-09,"HNRNPA3/SRRM2/HNRNPH1/SNW1/DHX9/HNRNPD/HNRNPK/DDX5/EIF4A3",9
"R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","4/17","183/11009",0.000148444138105793,0.00830445660287532,0.00516706014924269,"ESR1/RPA1/HNRNPK/DDX5",4
"R-HSA-2990846","SUMOylation","4/17","189/11009",0.000168106408965087,0.00830445660287532,0.00516706014924269,"ESR1/RPA1/HNRNPK/DDX5",4
"R-HSA-4419969","Depolymerization of the Nuclear Lamina","2/17","15/11009",0.000232901175577735,0.00958776506128342,0.00596553888321918,"TMPO/LMNA",2
"R-HSA-2995383","Initiation of Nuclear Envelope (NE) Reformation","2/17","19/11009",0.000377920610228673,0.0133351986752118,0.00829720437494531,"TMPO/LMNA",2
"R-HSA-111465","Apoptotic cleavage of cellular proteins","2/17","38/11009",0.00152710435091232,0.0471493468344178,0.0293364783201577,"CTNNB1/LMNA",2
"R-HSA-2980766","Nuclear Envelope Breakdown","2/17","52/11009",0.00284407781402511,0.0638624745512912,0.0397354412294418,"TMPO/LMNA",2
"R-HSA-381070","IRE1alpha activates chaperones","2/17","52/11009",0.00284407781402511,0.0638624745512912,0.0397354412294418,"HSPA5/LMNA",2
