"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","7/20","185/11009",2.17720747202551e-08,1.54834709801134e-06,1.17969302705626e-06,"MPHOSPH6/EXOSC5/RRP9/NOL11/UTP4/WDR43/UTP15",7
"R-HSA-8868773","rRNA processing in the nucleus and cytosol","7/20","195/11009",3.1331544583368e-08,1.54834709801134e-06,1.17969302705626e-06,"MPHOSPH6/EXOSC5/RRP9/NOL11/UTP4/WDR43/UTP15",7
"R-HSA-72312","rRNA processing","7/20","205/11009",4.42384885146096e-08,1.54834709801134e-06,1.17969302705626e-06,"MPHOSPH6/EXOSC5/RRP9/NOL11/UTP4/WDR43/UTP15",7
"R-HSA-6790901","rRNA modification in the nucleus and cytosol","5/20","61/11009",6.42773411871232e-08,1.68728020616198e-06,1.28554682374246e-06,"RRP9/NOL11/UTP4/WDR43/UTP15",5
"R-HSA-8953750","Transcriptional Regulation by E2F6","2/20","35/11009",0.00179981701357439,0.0377961572850621,0.0287970722171902,"CBX3/EZH2",2
"R-HSA-381119","Unfolded Protein Response (UPR)","2/20","95/11009",0.0126541836820179,0.168336233882571,0.128256178196244,"EXOSC5/PDIA6",2
"R-HSA-9645723","Diseases of programmed cell death","2/20","104/11009",0.0150320843388892,0.168336233882571,0.128256178196244,"CDKN2A/EZH2",2
"R-HSA-8957275","Post-translational protein phosphorylation","2/20","108/11009",0.0161463848972022,0.168336233882571,0.128256178196244,"CALU/PDIA6",2
"R-HSA-9701898","STAT3 nuclear events downstream of ALK signaling","1/20","10/11009",0.0180264638253579,0.168336233882571,0.128256178196244,"HIF1A",1
"R-HSA-1234158","Regulation of gene expression by Hypoxia-inducible Factor","1/20","11/11009",0.0198120325791984,0.168336233882571,0.128256178196244,"HIF1A",1
