"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9772755","Formation of WDR5-containing histone-modifying complexes","6/37","41/11009",3.88967678518513e-09,1.13189594448887e-06,8.80295272436636e-07,"KMT2B/HCFC2/WDR82/CXXC1/KDM6A/MEN1",6
"R-HSA-6781823","Formation of TC-NER Pre-Incision Complex","6/37","54/11009",2.1650094487092e-08,3.15008874787189e-06,2.44987911301304e-06,"ERCC6/COPS3/COPS8/COPS4/USP7/COPS2",6
"R-HSA-8939243","RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known","5/37","38/11009",1.50001757149538e-07,1.45501704435052e-05,1.13159220305792e-05,"SMARCB1/SMARCA2/SMARCD2/PBRM1/SMARCE1",5
"R-HSA-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","6/37","79/11009",2.1931775368379e-07,1.59553665804957e-05,1.24087676426355e-05,"ERCC6/COPS3/COPS8/COPS4/USP7/COPS2",6
"R-HSA-5696398","Nucleotide Excision Repair","6/37","111/11009",1.65320311553029e-06,8.9396703997605e-05,6.95253802115575e-05,"ERCC6/COPS3/COPS8/COPS4/USP7/COPS2",6
"R-HSA-212165","Epigenetic regulation of gene expression","7/37","187/11009",2.43977752576131e-06,8.9396703997605e-05,6.95253802115575e-05,"ERCC6/KMT2B/HCFC2/WDR82/CXXC1/KDM6A/MEN1",7
"R-HSA-3247509","Chromatin modifying enzymes","8/37","270/11009",2.4576413470132e-06,8.9396703997605e-05,6.95253802115575e-05,"SMARCB1/KMT2B/SMARCA2/SMARCD2/PBRM1/SMARCE1/KDM6A/RELA",8
"R-HSA-4839726","Chromatin organization","8/37","270/11009",2.4576413470132e-06,8.9396703997605e-05,6.95253802115575e-05,"SMARCB1/KMT2B/SMARCA2/SMARCD2/PBRM1/SMARCE1/KDM6A/RELA",8
"R-HSA-3214858","RMTs methylate histone arginines","5/37","78/11009",5.72517247814315e-06,0.000185113910126629,0.000143966325473775,"SMARCB1/SMARCA2/SMARCD2/PBRM1/SMARCE1",5
"R-HSA-5696394","DNA Damage Recognition in GG-NER","4/37","38/11009",7.34498671330363e-06,0.000213739113357136,0.000166228646669503,"COPS3/COPS8/COPS4/COPS2",4
