"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-2559585","Oncogene Induced Senescence","4/26","33/11009",9.5471253551295e-07,0.000150344599928283,0.000106104442533119,"CDKN2C/ETS1/CDK6/CDKN2B",4
"R-HSA-8939243","RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known","4/26","38/11009",1.7084613628214e-06,0.000150344599928283,0.000106104442533119,"SMARCC1/SMARCD3/ARID2/SMARCC2",4
"R-HSA-69231","Cyclin D associated events in G1","4/26","47/11009",4.06922971635471e-06,0.000179046107519607,0.000126360291192067,"CDKN2C/CDK6/CCND2/CDKN2B",4
"R-HSA-69236","G1 Phase","4/26","47/11009",4.06922971635471e-06,0.000179046107519607,0.000126360291192067,"CDKN2C/CDK6/CCND2/CDKN2B",4
"R-HSA-8878171","Transcriptional regulation by RUNX1","6/26","236/11009",1.46334328557085e-05,0.00051509683652094,0.000363525279362864,"SMARCC1/SMARCD3/CDK6/CCND2/ARID2/SMARCC2",6
"R-HSA-3214858","RMTs methylate histone arginines","4/26","78/11009",3.09665788981916e-05,0.000908352981013621,0.000641062510523967,"SMARCC1/SMARCD3/ARID2/SMARCC2",4
"R-HSA-2559583","Cellular Senescence","5/26","195/11009",8.04933548581673e-05,0.00202383292214821,0.00142830313883665,"CDKN2C/ETS1/CDK6/CDKN2B/FOS",5
"R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","4/26","110/11009",0.000119069829468822,0.00261953624831408,0.0018487157733317,"CDKN2C/CDK6/CDKN2B/FOS",4
"R-HSA-2559580","Oxidative Stress Induced Senescence","4/26","124/11009",0.000189194267160675,0.0036997990022532,0.00261110216666194,"CDKN2C/CDK6/CDKN2B/FOS",4
"R-HSA-453279","Mitotic G1 phase and G1/S transition","4/26","149/11009",0.000382086403399659,0.00672472069983399,0.00474591532643787,"CDKN2C/CDK6/CCND2/CDKN2B",4
