"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1433557","Signaling by SCF-KIT","3/25","43/11009",0.000120241811478058,0.0232066696152652,0.0170869942626714,"YES1/SOCS1/STAT1",3
"R-HSA-877312","Regulation of IFNG signaling","2/25","14/11009",0.000443073329416068,0.029509850567766,0.0217280055993914,"SOCS1/STAT1",2
"R-HSA-1433559","Regulation of KIT signaling","2/25","16/11009",0.000582647981814017,0.029509850567766,0.0217280055993914,"YES1/SOCS1",2
"R-HSA-909733","Interferon alpha/beta signaling","3/25","77/11009",0.000677333305287339,0.029509850567766,0.0217280055993914,"ABCE1/SOCS1/STAT1",3
"R-HSA-9669938","Signaling by KIT in disease","2/25","20/11009",0.000917404680863191,0.029509850567766,0.0217280055993914,"YES1/STAT1",2
"R-HSA-9670439","Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants","2/25","20/11009",0.000917404680863191,0.029509850567766,0.0217280055993914,"YES1/STAT1",2
"R-HSA-982772","Growth hormone receptor signaling","2/25","24/11009",0.00132525615248081,0.0333719050415718,0.0245716235648334,"SOCS1/STAT1",2
"R-HSA-9705462","Inactivation of CSF3 (G-CSF) signaling","2/25","25/11009",0.00143849386728778,0.0333719050415718,0.0245716235648334,"SOCS1/STAT1",2
"R-HSA-912694","Regulation of IFNA/IFNB signaling","2/25","26/11009",0.00155620282577278,0.0333719050415718,0.0245716235648334,"SOCS1/STAT1",2
"R-HSA-9674555","Signaling by CSF3 (G-CSF)","2/25","30/11009",0.00207136707059696,0.0387955394770411,0.0285650277033027,"SOCS1/STAT1",2
