"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6807070","PTEN Regulation","4/16","140/11009",4.04927982051213e-05,0.00714027031537685,0.00441025830701832,"ATF2/MAPK1/PML/PPARG",4
"R-HSA-8943724","Regulation of PTEN gene transcription","3/16","61/11009",8.61118847493367e-05,0.00714027031537685,0.00441025830701832,"ATF2/MAPK1/PPARG",3
"R-HSA-450341","Activation of the AP-1 family of transcription factors","2/16","10/11009",8.85157477112832e-05,0.00714027031537685,0.00441025830701832,"ATF2/MAPK1",2
"R-HSA-1257604","PIP3 activates AKT signaling","4/16","268/11009",0.000496048284713223,0.03001092122515,0.0185365411655994,"ATF2/MAPK1/PML/PPARG",4
"R-HSA-9006925","Intracellular signaling by second messengers","4/16","310/11009",0.000858359618283252,0.0352121008217313,0.0217491009860193,"ATF2/MAPK1/PML/PPARG",4
"R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","2/16","31/11009",0.000898523893791519,0.0352121008217313,0.0217491009860193,"ATF2/MAPK1",2
"R-HSA-2559585","Oncogene Induced Senescence","2/16","33/11009",0.00101853184195091,0.0352121008217313,0.0217491009860193,"CDK4/MAPK1",2
"R-HSA-5674135","MAP2K and MAPK activation","2/16","40/11009",0.00149575266254391,0.0452465180419532,0.0279469576422677,"MAPK1/WDR83",2
"R-HSA-8848021","Signaling by PTK6","2/16","54/11009",0.00271178935648343,0.0656253024268989,0.040534114591647,"CDK4/LRRK2",2
"R-HSA-9006927","Signaling by Non-Receptor Tyrosine Kinases","2/16","54/11009",0.00271178935648343,0.0656253024268989,0.040534114591647,"CDK4/LRRK2",2
