"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72163","mRNA Splicing - Major Pathway","10/19","207/11009",3.54427122369415e-13,6.56590823866518e-11,4.50748849336282e-11,"DDX5/DHX9/HNRNPH1/HNRNPD/HNRNPK/EIF4A3/RBMX/HNRNPA3/SNW1/SRRM2",10
"R-HSA-72172","mRNA Splicing","10/19","215/11009",5.19044129538749e-13,6.56590823866518e-11,4.50748849336282e-11,"DDX5/DHX9/HNRNPH1/HNRNPD/HNRNPK/EIF4A3/RBMX/HNRNPA3/SNW1/SRRM2",10
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","10/19","285/11009",8.6924276698349e-12,7.33061400156076e-10,5.03245812464125e-10,"DDX5/DHX9/HNRNPH1/HNRNPD/HNRNPK/EIF4A3/RBMX/HNRNPA3/SNW1/SRRM2",10
"R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","5/19","183/11009",1.15648805165877e-05,0.000684421158760231,0.000469854342398328,"DDX17/DDX5/ESR1/HNRNPK/RPA1",5
"R-HSA-2990846","SUMOylation","5/19","189/11009",1.35261098569216e-05,0.000684421158760231,0.000469854342398328,"DDX17/DDX5/ESR1/HNRNPK/RPA1",5
"R-HSA-4419969","Depolymerization of the Nuclear Lamina","2/19","15/11009",0.000292378228844472,0.0123286153162752,0.00846358030865576,"TMPO/LMNA",2
"R-HSA-2995383","Initiation of Nuclear Envelope (NE) Reformation","2/19","19/11009",0.00047420248595529,0.0171390327066698,0.0117659263432516,"TMPO/LMNA",2
"R-HSA-111465","Apoptotic cleavage of cellular proteins","2/19","38/11009",0.00191177169138481,0.0604597797400447,0.0415055696155913,"CTNNB1/LMNA",2
"R-HSA-3899300","SUMOylation of transcription cofactors","2/19","45/11009",0.00267295501327413,0.0749404667986508,0.0514465447130326,"DDX17/DDX5",2
"R-HSA-2980766","Nuclear Envelope Breakdown","2/19","52/11009",0.00355448854380952,0.0749404667986508,0.0514465447130326,"TMPO/LMNA",2
