"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","7/30","60/11009",1.83814599411367e-10,2.84912629087618e-08,1.68335475250409e-08,"EIF4G1/EIF4E/EIF3I/EIF3H/EIF3G/EIF3B/EIF4EBP1",7
"R-HSA-72649","Translation initiation complex formation","6/30","59/11009",9.81084341739872e-09,5.06893576565601e-07,2.99488904320593e-07,"EIF4G1/EIF4E/EIF3I/EIF3H/EIF3G/EIF3B",6
"R-HSA-72702","Ribosomal scanning and start codon recognition","6/30","59/11009",9.81084341739872e-09,5.06893576565601e-07,2.99488904320593e-07,"EIF4G1/EIF4E/EIF3I/EIF3H/EIF3G/EIF3B",6
"R-HSA-72613","Eukaryotic Translation Initiation","7/30","120/11009",2.53556861955114e-08,7.86026272060854e-07,4.64409410317788e-07,"EIF4G1/EIF4E/EIF3I/EIF3H/EIF3G/EIF3B/EIF4EBP1",7
"R-HSA-72737","Cap-dependent Translation Initiation","7/30","120/11009",2.53556861955114e-08,7.86026272060854e-07,4.64409410317788e-07,"EIF4G1/EIF4E/EIF3I/EIF3H/EIF3G/EIF3B/EIF4EBP1",7
"R-HSA-72766","Translation","9/30","292/11009",5.03864327457172e-08,1.3016495125977e-06,7.69056078750421e-07,"SEC61B/MRPL47/EIF4G1/EIF4E/EIF3I/EIF3H/EIF3G/EIF3B/EIF4EBP1",9
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","6/30","112/11009",4.71590265564833e-07,9.63130361335297e-06,5.69048159159055e-06,"EIF4G1/EIF4E/EIF3I/EIF3H/EIF3G/EIF3B",6
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","6/30","113/11009",4.97099541334347e-07,9.63130361335297e-06,5.69048159159055e-06,"EIF4G1/EIF4E/EIF3I/EIF3H/EIF3G/EIF3B",6
"R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex","4/30","52/11009",1.10759460261561e-05,0.0001907524037838,0.000112702608687203,"EIF3I/EIF3H/EIF3G/EIF3B",4
"R-HSA-166208","mTORC1-mediated signalling","3/30","24/11009",3.55611121769579e-05,0.000551197238742847,0.000325664922041614,"EIF4G1/EIF4E/EIF4EBP1",3
