"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8878166","Transcriptional regulation by RUNX2","8/20","121/11009",1.90211926142848e-11,6.57956300495999e-09,2.49522749185307e-09,"STUB1/GSK3B/HDAC6/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4",8
"R-HSA-8939902","Regulation of RUNX2 expression and activity","7/20","73/11009",3.03905912469284e-11,6.57956300495999e-09,2.49522749185307e-09,"STUB1/GSK3B/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4",7
"R-HSA-69242","S Phase","8/20","162/11009",2.00462089093533e-10,2.15915296584537e-08,8.18835207662278e-09,"GSK3B/MCM7/CDC25B/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4",8
"R-HSA-9759194","Nuclear events mediated by NFE2L2","7/20","97/11009",2.33703529209331e-10,2.15915296584537e-08,8.18835207662278e-09,"GSK3B/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4/SQSTM1",7
"R-HSA-75815","Ubiquitin-dependent degradation of Cyclin D","6/20","52/11009",3.03906218846885e-10,2.15915296584537e-08,8.18835207662278e-09,"GSK3B/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4",6
"R-HSA-9762114","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","6/20","52/11009",3.03906218846885e-10,2.15915296584537e-08,8.18835207662278e-09,"GSK3B/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4",6
"R-HSA-1257604","PIP3 activates AKT signaling","9/20","268/11009",3.4905475198424e-10,2.15915296584537e-08,8.18835207662278e-09,"STUB1/GAB2/GRB2/GSK3B/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4",9
"R-HSA-5610783","Degradation of GLI2 by the proteasome","6/20","60/11009",7.40825327722288e-10,3.56419296559723e-08,1.35168129970382e-08,"GSK3B/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4",6
"R-HSA-5610785","GLI3 is processed to GLI3R by the proteasome","6/20","60/11009",7.40825327722288e-10,3.56419296559723e-08,1.35168129970382e-08,"GSK3B/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4",6
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","10/20","433/11009",1.03731131213817e-09,4.49155798155826e-08,1.70337436519531e-08,"GAB2/GRB2/GSK3B/HDAC6/PSMA6/PSMD10/PSMD11/PSMD1/PSMD4/SQSTM1",10
